Country.of.Origin,Region.Name,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
Ethiopia,Africa,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,2075
Ethiopia,Africa,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,2075
Ethiopia,Africa,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,2000
Ethiopia,Africa,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,2075
Ethiopia,Africa,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,1822.5
Ethiopia,Africa,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,1905
Colombia,South America,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,1872
Colombia,South America,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,1943
Colombia,South America,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,2080
China,Asia,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,1450
Ethiopia,Africa,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,1850
Colombia,South America,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,2019
Costa Rica,Central America,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,1300
Mexico,Mexico,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,1320
Colombia,South America,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,2112
Brazil,South America,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,1250
Uganda,Africa,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,1950
Taiwan,Asia,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,1200
Brazil,South America,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,1300
Costa Rica,Central America,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,1300
Ethiopia,Africa,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,1775
Kenya,Africa,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,1800
Colombia,South America,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,1941
Thailand,Asia,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,1300
Taiwan,Asia,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,1000
Kenya,Africa,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,1754
Brazil,South America,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08,1250
Colombia,South America,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,1200
Kenya,Africa,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,1860
Uganda,Africa,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,1650
Uganda,Africa,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,1650
Colombia,South America,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,1800
Panama,Central America,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,1600
Ethiopia,Africa,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,1900
Guatemala,Central America,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,1524
Guatemala,Central America,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,1417.32
El Salvador,Central America,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,1500
El Salvador,Central America,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,1350
Panama,Central America,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,1680
Kenya,Africa,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,1900
Ethiopia,Africa,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,1900
Uganda,Africa,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,1600
Guatemala,Central America,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,1731.264
Ethiopia,Africa,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,1900
Uganda,Africa,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,1950
Brazil,South America,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42,1250
China,Asia,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,1700
Guatemala,Central America,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,1770
Costa Rica,Central America,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,1300
Costa Rica,Central America,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,1300
Kenya,Africa,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,1600
Kenya,Africa,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,1200
Colombia,South America,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,1550
Colombia,South America,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,1550
Indonesia,Asia,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,1325
Guatemala,Central America,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,1400
Colombia,South America,Natural / Dry,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,2560
Ethiopia,Africa,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,1700
Colombia,South America,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,2136
Uganda,Africa,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,1800
Costa Rica,Central America,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,1900
Mexico,Mexico,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,1300
Kenya,Africa,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,1
Kenya,Africa,Washed / Wet,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,1580
Brazil,South America,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,1100
Colombia,South America,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,1775
Taiwan,Asia,Semi-washed / Semi-pulped,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,800
"Tanzania, United Republic Of",Africa,Washed / Wet,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,1620
Colombia,South America,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,1775
Mexico,Mexico,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,1200
Brazil,South America,Natural / Dry,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,1200
Brazil,South America,Natural / Dry,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,1000
Taiwan,Asia,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,350
Uganda,Africa,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,1650
Kenya,Africa,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,1800
Honduras,Central America,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,1450
El Salvador,Central America,Washed / Wet,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,1350
Indonesia,Asia,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,1200
Costa Rica,Central America,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,1150
Guatemala,Central America,Washed / Wet,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,1600
Costa Rica,Central America,Washed / Wet,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,1750
Ethiopia,Africa,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,1900
Costa Rica,Central America,Other,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,1750
Costa Rica,Central America,Washed / Wet,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,1200
Taiwan,Asia,Washed / Wet,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,1000
Colombia,South America,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,1550
Kenya,Africa,Washed / Wet,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,2000
Guatemala,Central America,Washed / Wet,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,1310.64
Guatemala,Central America,Washed / Wet,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,1524
Mexico,Mexico,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,1200
Uganda,Africa,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,1775
Kenya,Africa,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58,1754
Colombia,South America,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58,1500
Kenya,Africa,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58,1800
Guatemala,Central America,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58,1524
Guatemala,Central America,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,1219.2
Colombia,South America,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,1550
Colombia,South America,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,1750
Colombia,South America,Washed / Wet,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58,1750
Costa Rica,Central America,Semi-washed / Semi-pulped,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58,1575
Colombia,South America,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58,1800
Brazil,South America,Semi-washed / Semi-pulped,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,1300
Brazil,South America,Semi-washed / Semi-pulped,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58,1100
Costa Rica,Central America,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5,1200
Uganda,Africa,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,84.5,1750
China,Asia,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5,1680
Costa Rica,Central America,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5,1700
Colombia,South America,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,1800
China,Asia,Washed / Wet,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5,1100
Guatemala,Central America,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5,1310.64
Kenya,Africa,Washed / Wet,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5,2000
Mexico,Mexico,Washed / Wet,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5,1350
Mexico,Mexico,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5,1500
Costa Rica,Central America,Washed / Wet,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42,1300
Indonesia,Asia,Other,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,84.42,1400
Colombia,South America,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,1775
Taiwan,Asia,Washed / Wet,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42,1200
Mexico,Mexico,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42,900
Kenya,Africa,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33,1800
Honduras,Central America,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33,1500
Colombia,South America,Natural / Dry,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33,442
Colombia,South America,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,1800
Mexico,Mexico,Washed / Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,1700
Taiwan,Asia,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,1000
Thailand,Asia,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,1200
Colombia,South America,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,2560
Guatemala,Central America,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,1500
Guatemala,Central America,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,1099.4136
China,Asia,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,1400
Colombia,South America,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,1775
Colombia,South America,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,1775
Colombia,South America,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,1800
Colombia,South America,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,442
"Tanzania, United Republic Of",Africa,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,1620
"Tanzania, United Republic Of",Africa,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,1600
Guatemala,Central America,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,1219.2
Colombia,South America,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,1700
Mexico,Mexico,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,1450
Mexico,Mexico,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,1170
Mexico,Mexico,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,1400
Uganda,Africa,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,1700
Guatemala,Central America,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,1700
Costa Rica,Central America,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,1700
Guatemala,Central America,Washed / Wet,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17,1116.7872
Guatemala,Central America,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17,1565
Guatemala,Central America,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17,3280
Colombia,South America,Washed / Wet,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,1775
Nicaragua,Central America,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17,1000
Brazil,South America,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17,1150
Costa Rica,Central America,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17,1850
Ethiopia,Africa,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,84.17,1606.5
"Tanzania, United Republic Of",Africa,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,84.17,1400
Colombia,South America,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17,1530
Kenya,Africa,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17,250.5
Brazil,South America,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17,1038.5
Guatemala,Central America,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17,1310.64
El Salvador,Central America,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17,1500
Colombia,South America,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,1750
Uganda,Africa,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,84.17,1600
Colombia,South America,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,442
Taiwan,Asia,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08,968
Colombia,South America,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08,1775
Guatemala,Central America,Washed / Wet,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08,1550
Mexico,Mexico,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08,1480
Ethiopia,Africa,Natural / Dry,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08,1800
Ethiopia,Africa,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84,1800
Honduras,Central America,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84,1500
Guatemala,Central America,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84,1706.88
Colombia,South America,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84,1600
Guatemala,Central America,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84,1219.2
Guatemala,Central America,Other,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84,1219.2
Colombia,South America,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84,1480
Colombia,South America,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84,1450
Colombia,South America,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,1775
Ethiopia,Africa,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84,1550
Brazil,South America,Natural / Dry,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,1260
Colombia,South America,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,1700
Kenya,Africa,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,1200
Kenya,Africa,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,1650
Uganda,Africa,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84,1700
Brazil,South America,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,890
Mexico,Mexico,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92,1300
Thailand,Asia,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92,1350
Brazil,South America,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,934
Taiwan,Asia,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,1200
Colombia,South America,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,1775
Taiwan,Asia,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,950
Colombia,South America,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,1550
Mexico,Mexico,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,900
Mexico,Mexico,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92,1500
Mexico,Mexico,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92,1400
Colombia,South America,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83,2527
Costa Rica,Central America,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83,1850
Guatemala,Central America,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83,1500
Brazil,South America,Natural / Dry,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,1
Taiwan,Asia,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83,525
Ethiopia,Africa,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83,1676.5
Brazil,South America,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,1200
Costa Rica,Central America,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83,1300
